University,Group name,Status,Group type (search/filter by),Link,Link 2,Link 3
CUNY Queens College,SJP,Active,SJP,https://www.instagram.com/qcsjp/,,
CUNY Queens College,MSA,Active,Other,https://www.instagram.com/qcmsa/,,
CUNY School of Law,Law SJP,Active,SJP,https://www.instagram.com/cunylawsjp/,https://www.facebook.com/CUNYLawSJP,
CUNY School of Law,CUNY Jewish Law Students Association (Anti-Zionist Group),Active,Other,https://twitter.com/cunyjlsa,https://www.instagram.com/cunyjlsa/,
CUNY System,Apartheid Divest CUNY,Inactive,Divest,https://www.facebook.com/ApartheidDivestCUNY/,,
CUNY System,CUNY for Palestine,Active,Other,https://www.facebook.com/CUNYforPalestine/,https://mobile.twitter.com/cuny4p,
CUNY System,Not In Our Name CUNY,Active,Faculty,https://twitter.com/NIONCUNY,,
CUNY System,CUNY Jewish Antizionists For Palestine,Inactive,JVP,https://www.instagram.com/cuny_nion/,,
CUNY System,Free CUNY!,Active,Other,https://www.instagram.com/freecuny/,,
CUNY System,People's CUNY,Active,Other,https://www.instagram.com/peoplescuny/,,
Cal Poly Pomona,SJP,Active,SJP,https://www.instagram.com/sjpcpp/,,
"California Polytechnic State University, SLO",Students for Justice and Peace in the Middle East,Inactive,SJP,https://www.facebook.com/groups/2313404010/about/,,
"California Polytechnic State University, SLO",Cal Tech SJP,Active,SJP,https://www.instagram.com/caltechsjp/,,
Calvin College,Calvin Middle East Club,Inactive,Other,https://www.facebook.com/CalvinMiddleEastClub/,,
Carleton College,SJP,Active,SJP,https://www.instagram.com/sjpcarletoncollege/,,
Case Western Reserve University,SJP,Active,SJP,https://www.instagram.com/cwru_sjp/,,
Central Connecticut State University,SJP,Active,SJP,https://www.instagram.com/ccsusjp/,,
Champlain College,Champlain for Palestine,Active,SJP,https://www.instagram.com/champlainforpalestine/,,
Champlain College,SJP,Active,SJP,https://www.instagram.com/champlain.sjp/,,
Chapman University,SJP,Inactive,SJP,https://www.instagram.com/sjpchapman/,,
Claremont Colleges - System,SJP,Active,SJP,https://www.facebook.com/claremontsjp/,https://www.instagram.com/claremontsjp/,
Claremont Colleges - System,JVP,Active,JVP,https://www.facebook.com/ClaremontJVP/,https://claremont.campuslabs.com/engage/organization/jewishvoiceforpeace,https://claremont.campuslabs.com/engage/organization/jewishvoiceforpeace
Clark University,SJP,Inactive,SJP,https://www.facebook.com/clarkusjp/,,
Clark University,MENASA (Middle East and North African Students Association) ,Active,Other,https://www.instagram.com/clarku_menasa/,,
Cleveland State University,SJP,Active,SJP,https://www.facebook.com/profile.php?id=100069340876721,https://www.instagram.com/csusjp/,
Cleveland State University,Solidarity for Palestinian Human Rights,Inactive,SJP,https://www.instagram.com/clestatesphr/,,
Colgate University,SJP,Active,SJP,https://www.instagram.com/sjp.colgate/,,
College of DuPage,SJP,Active,SJP,https://www.instagram.com/sjpcod/,,
College of New Jersey,SJP,Active,SJP,https://www.instagram.com/sjptcnj/,,
College of William and Mary,SJP,Active,SJP,https://www.facebook.com/sjpwm/,https://www.instagram.com/sjpatwm/,
Colorado College,SJP,Active,SJP,https://www.instagram.com/cc_sjp/,,
Colorado State University,Colostate SJP,Active,SJP,https://www.instagram.com/sjpcolostate/,,
Columbia College Chicago,SJP,Active,SJP,https://www.instagram.com/sjpccc/,,
Columbia University/Barnard College,SJP,Active,SJP,https://www.facebook.com/ColumbiaSJP,,
Columbia University/Barnard College,Columbia/Barnard JVP,Active,JVP,https://www.instagram.com/jvp.columbia/,https://www.facebook.com/JVPColumbia/,
Columbia University/Barnard College,Columbia University Apartheid Divest,Active,Divest,https://www.facebook.com/CUapartheiddivest/,https://www.instagram.com/cuapartheiddivest/,
Columbia University/Barnard College,Columbia Law Students for Palestine,Active,SJP,https://www.instagram.com/clsforpalestine/,,
Columbia University/Barnard College,The Palestine Working Group (PWG) | PalTrek at Columbia University,Active,Other,https://www.instagram.com/pwgatsipa/,,
Columbia University/Barnard College,SIPA Palestine Working Group (PWG) ,Inactive,Other,https://www.instagram.com/sipapwg/,,
Columbia University/Barnard College,LionLez,Active,Other,https://www.instagram.com/lionlez/,,
Columbia University/Barnard College,DAR Palestine at Columbia University,Active,SJP,https://www.instagram.com/cu_dar/,,
Columbia University/Barnard College,Center for Palestine Studies,Active,Department,https://www.instagram.com/centerforpalestinestudies/,,
Columbia University/Barnard College,Columbia Law Coalition for a Free Palestine,Active,SJP,https://www.instagram.com/clsforfreepalestine/,,
Columbia University/Barnard College,Columbia Social Workers for Palestine,Active,SJP,https://www.instagram.com/cssw4palestine/,,
