University,Academic Boycotter Name,Auto Increment
CSU System,Mohammed Abed,139
CSU System,Rabab Abdulhadi,140
CSU System,Alexander Alekseenko,142
CSU System,Ece Algan,143
CSU System,Jake Alimahomed-Wilson,144
CSU System,Ayad Al-Qazzaz,145
CSU System,Akhila Ananth,146
CSU System,Karran Baird-Olson,147
CSU System,Falu Bakrania,148
CSU System,Joanne Barker,149
CSU System,Doris Bittar,153
CSU System,Manuel Callahan,155
CSU System,Luz Calvo,156
CSU System,Msia Clark,157
CSU System,Andreana Clay,158
CSU System,Lynn Cornerford,160
CSU System,Michael J. Coyle,161
CSU System,Paula DiMarco,162
CSU System,Rabia Djellouli,164
CSU System,Owen Doonan,165
CSU System,C. Rueda Esquibel,166
CSU System,Martha Escobar,167
CSU System,Sasan Fayazmanesh,168
CSU System,Jason Ferreira,169
CSU System,Manzar Foroohar,171
CSU System,Rosa Furumoto,172
CSU System,Benjamin Frymer,173
CSU System,Marta Gonzales,175
CSU System,Roberto Gonzalez,176
CSU System,Alexandro Gradilla,177
CSU System,Ken Habib,178
CSU System,Tomo Hattori,182
CSU System,Lynette Henderson,183
CSU System,Mikel Hogan,185
CSU System,Mary Hussain,186
CSU System,Dina Ibrahim,187
CSU System,Andrew Jolivette,189
CSU System,Persis M. Karim,191
CSU System,Shirin Khanmohamadi,193
CSU System,Sang Hea Kil,194
CSU System,Jinah Kim,195
CSU System,David Klein,197
CSU System,Peri Klemm,198
CSU System,Felix Salvador Kury,199
CSU System,Jenny W. Lau,200
CSU System,Martha Lincoln,201
CSU System,Joanne Tortorici-Luna,202
CSU System,Sheena Malhotra,203
CSU System,Theresa Montano,204
CSU System,Ahlam Muhtaseb,205
CSU System,Jamal Nassar,206
CSU System,Jose Navarro,207
CSU System,Enrique Ochoa,208
CSU System,Larry Oviatt,210
CSU System,John-Carlos Perea,213
CSU System,Edie Pistolesi,214
CSU System,Mike Powelson,215
CSU System,Radha Ranganathan,216
CSU System,Kasturi Ray,217
CSU System,Eric Estuar Reyes,218
CSU System,Victor M. Rodriguez,220
CSU System,Jerry Rosen,222
CSU System,Mary Rosen,223
CSU System,Roshni Rustomji-Kerns,224
CSU System,Bharath A. Sethuraman,227
CSU System,Louis Solis,228
CSU System,Kathryn Sorrels,229
CSU System,Matthew Spangler,230
CSU System,Judith Stevenson,231
CSU System,Rachael Stryker,232
CSU System,Molly Talcott,234
CSU System,Reza Toossi,236
CSU System,Sherry Vatter,237
CSU System,Nan Yamane,238
CSU System,Jose Zamora,239
CSU System,Tomomi Kinukawa,1158
CSU System,James Martel,2172
CSU System,Kate Ozment,3758
CSU System,Claudia S. Garriga-Lopez,3759
CSU System,Julia Shatz,3760
CSU System,Alfredo Carlos,3761
CSU System,Barbara Kim,3762
CSU System,Christine El Ouardani,3763
CSU System,Daniel Herrera Cepero,3764
CSU System,Dr. Kimberly Walters,3765
CSU System,Esa Syeed,3766
CSU System,Karissa G Miller,3767
CSU System,Kathryn J. Perkins,3768
CSU System,Lori Baralt ,3769
CSU System,Maulana Karenga,3770
CSU System,Preeti Sharma,3771
CSU System,Sabrina Alimahomed,3772
CSU System,Shae Miller,3773
CSU System,Sophia Pandya,3774
CSU System,Steven Osuna,3775
CSU System,Yousef K. Baker,3776
CSU System,Alejandra Marchevsky ,3777
CSU System,Sae-Mi Lee,3779
CSU System,Daniel Olmos,3780
CSU System,Kelly Louise Opdycke,3781
CSU System,Vajra Watson ,3783
CSU System,Angela Penaredondo,3784
CSU System,Charlene Eaton,3785
CSU System,Andrew Spieldenner ,3786
CSU System,Annisa Rochadiat,3787
CSU System,Harry Blain,4404
CSU System,Ron Loewe,4456
CSU System,Roberto D. Hernández,4570
CSU System,Olivia Chilcote,4576
CSU System,Sean A. Gordon,4583
CSU System,David Kamper,4593
CSU System,Katynka Martinez,4597
CSU System,Abul Pitre,4599
CSU System,Wesley Ueunten,4601
CUNY Baruch College,Zachariah Mampilly,1981
CUNY Baruch College,Issam Aburaya,2447
CUNY Baruch College,Johanna Fernandez,2449
CUNY Baruch College,Stuart Davis,2450
CUNY Baruch College,Zoe Griffith,2451
CUNY Baruch College,Diana Hamilton,4197
CUNY Baruch College,Nicodemus Nicoludis,4453
CUNY Borough of Manhattan Community College,Adrienne Urbanski,2190
CUNY Borough of Manhattan Community College,Alexandria Eisenbarth,2191
CUNY Borough of Manhattan Community College,Catherine Perry,2192
CUNY Borough of Manhattan Community College,Gustavo A. Rivera,2193
CUNY Borough of Manhattan Community College,Kirsten Cole,2194
CUNY Borough of Manhattan Community College,Rebecca Smart,2195
CUNY Borough of Manhattan Community College,Sarah McAllister,2196
CUNY Borough of Manhattan Community College,Angela Elbanna,2197
CUNY Borough of Manhattan Community College,Ángeles Donoso Macaya,2198
CUNY Borough of Manhattan Community College,Brian Prager,2199
CUNY Borough of Manhattan Community College,Celeste Little,2200
CUNY Borough of Manhattan Community College,David Klassen,2201
CUNY Borough of Manhattan Community College,Domenick A. Acocella,2202
CUNY Borough of Manhattan Community College,Francisca Suarez-Coalla,2203
CUNY Borough of Manhattan Community College,Francisco Delgado,2204
