University Name,University Address,University Address : Street 1,University Address : Street 2,University Address : City,University Address : State,University Address : Zip,University Address : Country,University Address : Latitude,University Address : Longitude,University Number,Geographical Region,State
Michigan State University,"426 Auditorium Rd East Lansing, MI 48824",426 Auditorium Rd,,East Lansing,MI,48824,,42.72993,-84.47977,143,Midwest,Michigan
Michigan Technological University,"1400 Townsend Drive Houghton, MI 49931",1400 Townsend Drive,,Houghton,MI,49931,,47.119076,-88.551255,144,Midwest,Michigan
Middlebury College,"131 S Main St Middlebury, VT 5753",131 S Main St,,Middlebury,VT,5753,,44.00782,-73.174,376,Northeast,Vermont
Middle Tennessee State University,"1301 E Main St Murfreesboro, TN 37132",1301 E Main St,,Murfreesboro,TN,37132,,35.84381,-86.37062,145,South,Tennessee
Midwestern University Medical School,"555 31st St Downers Grove, IL 60515",555 31st St,,Downers Grove,IL,60515,,41.82969,-88.00255,760,Midwest,Illinois
Millersville University,"40 Dilworth Rd Millersville, PA 17551",40 Dilworth Rd,,Millersville,PA,17551,,39.99875,-76.35859,488,Northeast,Pennsylvania
Mills College,"5000 MacArthur Blvd Oakland, CA 94613",5000 MacArthur Blvd,,Oakland,CA,94613,,37.782273,-122.187627,442,West,California
Minnesota State University,"228 Wiecking Center Mankato, MN 56001",228 Wiecking Center,,Mankato,MN,56001,,44.15196,-93.99971,627,Midwest,Minnesota
Misericordia University ,"301 Lake Street Dallas, PA 18612",301 Lake Street,,Dallas,PA,18612,,41.34404,-75.97356,628,Northeast,Pennsylvania
Mississippi State University,"25 Old Main 101 Mississippi State, MS 39762",25 Old Main 101,,Mississippi State,MS,39762,,33.45622,-88.795708,443,South,Mississippi
Missouri State University,"901 S National Ave Springfield, MO 65897",901 S National Ave,,Springfield,MO,65897,,37.19855,-93.27846,551,Midwest,Missouri
Missouri University of Science and Technology,"300 W 13th St Rolla, MO 65409",300 W 13th St,,Rolla,MO,65409,,37.954075,-91.770704,487,Midwest,Missouri
Monmouth College,"700 E Broadway Monmouth, IL 61462",700 E Broadway,,Monmouth,IL,61462,,40.91275,-90.63989,444,Midwest,Illinois
Monmouth University,"400 Cedar Ave West Long Branch, NJ 7764",400 Cedar Ave,,West Long Branch,NJ,7764,,40.28165,-74.0036,629,Northeast,New Jersey
